franchID,name
ATL,Atlanta Braves
BAL,Baltimore Orioles
BLO,Baltimore Orioles
ATL,Boston Braves
LAD,Brooklyn Dodgers
OAK,Kansas City Athletics
LAD,Los Angeles Dodgers
ATL,Milwaukee Braves
MLU,Milwaukee Brewers
MLA,Milwaukee Brewers
MIL,Milwaukee Brewers
BAL,Milwaukee Brewers
MIN,Minnesota Twins
WSN,Montreal Expos
NYI,New York Giants
SFG,New York Giants
OAK,Oakland Athletics
PNA,Philadelphia Athletics
PHQ,Philadelphia Athletics
ATH,Philadelphia Athletics
OAK,Philadelphia Athletics
PHA,Philadelphia Athletics
SFG,San Francisco Giants
TEX,Texas Rangers
WSN,Washington Nationals
WNA,Washington Nationals
WNL,Washington Nationals
WNT,Washington Nationals
NAT,Washington Nationals
WST,Washington Nationals
