yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation,relocation_era
1961,LAA,ANA,AL,Los Angeles Angels,70,91,161,0.435,ANA,False,,False,False,,none
1962,LAA,ANA,AL,Los Angeles Angels,86,76,162,0.531,ANA,False,,False,False,,none
1963,LAA,ANA,AL,Los Angeles Angels,70,91,161,0.435,ANA,False,,False,False,,none
1964,LAA,ANA,AL,Los Angeles Angels,82,80,162,0.506,ANA,False,,False,False,,none
1965,CAL,ANA,AL,California Angels,75,87,162,0.463,ANA,False,,False,False,,none
1966,CAL,ANA,AL,California Angels,80,82,162,0.494,ANA,False,,False,False,,none
1967,CAL,ANA,AL,California Angels,84,77,161,0.522,ANA,False,,False,False,,none
1968,CAL,ANA,AL,California Angels,67,95,162,0.414,ANA,False,,False,False,,none
1969,CAL,ANA,AL,California Angels,71,91,162,0.438,ANA,False,,False,False,,none
1970,CAL,ANA,AL,California Angels,86,76,162,0.531,ANA,False,,False,False,,none
1971,CAL,ANA,AL,California Angels,76,86,162,0.469,ANA,False,,False,False,,none
1972,CAL,ANA,AL,California Angels,75,80,155,0.484,ANA,False,,False,False,,none
1973,CAL,ANA,AL,California Angels,79,83,162,0.488,ANA,False,,False,False,,none
1974,CAL,ANA,AL,California Angels,68,94,162,0.42,ANA,False,,False,False,,none
1975,CAL,ANA,AL,California Angels,72,89,161,0.447,ANA,False,,False,False,,none
1976,CAL,ANA,AL,California Angels,76,86,162,0.469,ANA,False,,False,False,,none
1977,CAL,ANA,AL,California Angels,74,88,162,0.457,ANA,False,,False,False,,none
1978,CAL,ANA,AL,California Angels,87,75,162,0.537,ANA,False,,False,False,,none
1979,CAL,ANA,AL,California Angels,88,74,162,0.543,ANA,False,,False,False,,none
1980,CAL,ANA,AL,California Angels,65,95,160,0.406,ANA,False,,False,False,,none
1981,CAL,ANA,AL,California Angels,51,59,110,0.464,ANA,False,,False,False,,none
1982,CAL,ANA,AL,California Angels,93,69,162,0.574,ANA,False,,False,False,,none
1983,CAL,ANA,AL,California Angels,70,92,162,0.432,ANA,False,,False,False,,none
1984,CAL,ANA,AL,California Angels,81,81,162,0.5,ANA,False,,False,False,,none
1985,CAL,ANA,AL,California Angels,90,72,162,0.556,ANA,False,,False,False,,none
1986,CAL,ANA,AL,California Angels,92,70,162,0.568,ANA,False,,False,False,,none
1987,CAL,ANA,AL,California Angels,75,87,162,0.463,ANA,False,,False,False,,none
1988,CAL,ANA,AL,California Angels,75,87,162,0.463,ANA,False,,False,False,,none
1989,CAL,ANA,AL,California Angels,91,71,162,0.562,ANA,False,,False,False,,none
1990,CAL,ANA,AL,California Angels,80,82,162,0.494,ANA,False,,False,False,,none
1991,CAL,ANA,AL,California Angels,81,81,162,0.5,ANA,False,,False,False,,none
1992,CAL,ANA,AL,California Angels,72,90,162,0.444,ANA,False,,False,False,,none
1993,CAL,ANA,AL,California Angels,71,91,162,0.438,ANA,False,,False,False,,none
1994,CAL,ANA,AL,California Angels,47,68,115,0.409,ANA,False,,False,False,,none
1995,CAL,ANA,AL,California Angels,78,67,145,0.538,ANA,False,,False,False,,none
1996,CAL,ANA,AL,California Angels,70,91,161,0.435,ANA,False,,False,False,,none
1997,ANA,ANA,AL,Anaheim Angels,84,78,162,0.519,ANA,False,,False,False,,none
1998,ANA,ANA,AL,Anaheim Angels,85,77,162,0.525,ANA,False,,False,False,,none
1999,ANA,ANA,AL,Anaheim Angels,70,92,162,0.432,ANA,False,,False,False,,none
2000,ANA,ANA,AL,Anaheim Angels,82,80,162,0.506,ANA,False,,False,False,,none
2001,ANA,ANA,AL,Anaheim Angels,75,87,162,0.463,ANA,False,,False,False,,none
2002,ANA,ANA,AL,Anaheim Angels,99,63,162,0.611,ANA,False,,False,False,,none
2003,ANA,ANA,AL,Anaheim Angels,77,85,162,0.475,ANA,False,,False,False,,none
2004,ANA,ANA,AL,Anaheim Angels,92,70,162,0.568,ANA,False,,False,False,,none
2005,LAA,ANA,AL,Los Angeles Angels of Anaheim,95,67,162,0.586,ANA,False,,False,False,,none
2006,LAA,ANA,AL,Los Angeles Angels of Anaheim,89,73,162,0.549,ANA,False,,False,False,,none
2007,LAA,ANA,AL,Los Angeles Angels of Anaheim,94,68,162,0.58,ANA,False,,False,False,,none
2008,LAA,ANA,AL,Los Angeles Angels of Anaheim,100,62,162,0.617,ANA,False,,False,False,,none
2009,LAA,ANA,AL,Los Angeles Angels of Anaheim,97,65,162,0.599,ANA,False,,False,False,,none
2010,LAA,ANA,AL,Los Angeles Angels of Anaheim,80,82,162,0.494,ANA,False,,False,False,,none
2011,LAA,ANA,AL,Los Angeles Angels of Anaheim,86,76,162,0.531,ANA,False,,False,False,,none
2012,LAA,ANA,AL,Los Angeles Angels of Anaheim,89,73,162,0.549,ANA,False,,False,False,,none
2013,LAA,ANA,AL,Los Angeles Angels of Anaheim,78,84,162,0.481,ANA,False,,False,False,,none
2014,LAA,ANA,AL,Los Angeles Angels of Anaheim,98,64,162,0.605,ANA,False,,False,False,,none
