yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation
1884,ALT,ALT,UA,Altoona Mountain City,6,19,25,0.24,,False,,False,False,
1961,LAA,ANA,AL,Los Angeles Angels,70,91,161,0.435,,False,,False,False,
1962,LAA,ANA,AL,Los Angeles Angels,86,76,162,0.531,,False,,False,False,
1963,LAA,ANA,AL,Los Angeles Angels,70,91,161,0.435,,False,,False,False,
1964,LAA,ANA,AL,Los Angeles Angels,82,80,162,0.506,,False,,False,False,
1965,CAL,ANA,AL,California Angels,75,87,162,0.463,,False,,False,False,
1966,CAL,ANA,AL,California Angels,80,82,162,0.494,,False,,False,False,
1967,CAL,ANA,AL,California Angels,84,77,161,0.522,,False,,False,False,
1968,CAL,ANA,AL,California Angels,67,95,162,0.414,,False,,False,False,
1969,CAL,ANA,AL,California Angels,71,91,162,0.438,,False,,False,False,
1970,CAL,ANA,AL,California Angels,86,76,162,0.531,,False,,False,False,
1971,CAL,ANA,AL,California Angels,76,86,162,0.469,,False,,False,False,
1972,CAL,ANA,AL,California Angels,75,80,155,0.484,,False,,False,False,
1973,CAL,ANA,AL,California Angels,79,83,162,0.488,,False,,False,False,
1974,CAL,ANA,AL,California Angels,68,94,162,0.42,,False,,False,False,
1975,CAL,ANA,AL,California Angels,72,89,161,0.447,,False,,False,False,
1976,CAL,ANA,AL,California Angels,76,86,162,0.469,,False,,False,False,
1977,CAL,ANA,AL,California Angels,74,88,162,0.457,,False,,False,False,
1978,CAL,ANA,AL,California Angels,87,75,162,0.537,,False,,False,False,
1979,CAL,ANA,AL,California Angels,88,74,162,0.543,,False,,False,False,
1980,CAL,ANA,AL,California Angels,65,95,160,0.406,,False,,False,False,
1981,CAL,ANA,AL,California Angels,51,59,110,0.464,,False,,False,False,
1982,CAL,ANA,AL,California Angels,93,69,162,0.574,,False,,False,False,
1983,CAL,ANA,AL,California Angels,70,92,162,0.432,,False,,False,False,
