franchise_id,recommendation,seasons,year_range,sample_names,notes
PHQ,defunct_19th_century,2,1890-1891,Philadelphia Athletics,Defunct 19th century team
BLT,federal_league,2,1914-1915,Baltimore Terrapins,Federal League team (1914-1915)
LOU,defunct_19th_century,18,1882-1899,Louisville Eclipse; Louisville Colonels,Defunct 19th century team
KCP,federal_league,2,1914-1915,Kansas City Packers,Federal League team (1914-1915)
SYR,defunct_19th_century,1,1879-1879,Syracuse Stars,Defunct 19th century team
ANA,review_needed,64,1961-2024,Los Angeles Angels; California Angels; Anaheim Angels,Requires manual review
BFB,defunct_19th_century,1,1890-1890,Buffalo Bisons,Defunct 19th century team
NNA,defunct_19th_century,5,1871-1875,New York Mutuals,Defunct 19th century team
BFL,review_needed,2,1914-1915,Buffalo Buffeds; Buffalo Blues,Requires manual review
IND,defunct_19th_century,3,1887-1889,Indianapolis Hoosiers,Defunct 19th century team
DTN,defunct_19th_century,8,1881-1888,Detroit Wolverines,Defunct 19th century team
NYI,defunct_19th_century,1,1890-1890,New York Giants,Defunct 19th century team
NYU,defunct_19th_century,1,1876-1876,New York Mutuals,Defunct 19th century team
KEK,defunct_19th_century,1,1871-1871,Fort Wayne Kekiongas,Defunct 19th century team
PBS,federal_league,2,1914-1915,Pittsburgh Rebels,Federal League team (1914-1915)
WNA,defunct_19th_century,1,1884-1884,Washington Nationals,Defunct 19th century team
CNR,defunct_19th_century,5,1876-1880,Cincinnati Reds,Defunct 19th century team
BRS,defunct_19th_century,2,1890-1891,Boston Reds,Defunct 19th century team
MAN,defunct_19th_century,1,1872-1872,Middletown Mansfields,Defunct 19th century team
BRA,defunct_19th_century,4,1872-1875,Brooklyn Atlantics,Defunct 19th century team
ATH,defunct_19th_century,1,1876-1876,Philadelphia Athletics,Defunct 19th century team
MLG,defunct_19th_century,1,1878-1878,Milwaukee Grays,Defunct 19th century team
CKK,defunct_19th_century,1,1891-1891,Cincinnati Kelly's Killers,Defunct 19th century team
NYP,defunct_19th_century,5,1883-1887,New York Metropolitans,Defunct 19th century team
ARI,expansion_team,27,1998-2024,Arizona Diamondbacks,"Modern expansion team, no relocation"
BRG,defunct_19th_century,1,1890-1890,Brooklyn Gladiators,Defunct 19th century team
LGR,defunct_19th_century,2,1876-1877,Louisville Grays,Defunct 19th century team
PRO,defunct_19th_century,8,1878-1885,Providence Grays,Defunct 19th century team
BNA,defunct_19th_century,5,1871-1875,Boston Red Stockings,Defunct 19th century team
CBL,defunct_19th_century,6,1879-1884,Cleveland Blues,Defunct 19th century team
